facility_name,district_id
Kamabuye,30
Gakurazo,30
Gashora,30
Ruhuha,30
Mareba,30
Mayange (BUGESERA),30
Mwogo,30
Nyamata,30
Nyamata HD,30
Nzangwa,30
Prison Rilima (via CS),30
Rilima,30
Gihinga,30
Juru,30
NGERUKA,30
Gitare,22
Rusasa,22
Ruhunde,22
Nyamugali,22
Ntaruka,22
Mucaca,22
Kivuye,22
Kirambo,22
Kinyababa,22
Kinoni,22
Rwerere,22
Gahunga,22
Cyanika (BURERA),22
Butaro HD,22
Butaro,22
Bungwe (BURERA),22
Coko (Ruli),20
SERERI,20
Kamubuga,20
MUGUNGA,20
Busengo,20
KIDOMO,20
Ruhinga,20
Muhondo,20
Bushoka,20
Karambo,20
Nemba HD,20
Nemba,20
Janja,20
Gatonde,20
Cyabingo,20
Mataba,20
Nyange (Ruli),20
Ruli HD,20
Rwankuba,20
Rutenderi,20
Rutake,20
Rusoro,20
Rushashi,20
Ruli,20
Nyundo,20
Rukura,20
Kibagabaga HD,2
Kagugu,2
AVEGA Kigali,2
Bumbogo,2
Jali,2
Kabuye,2
Kacyiru,2
Kacyiru Police Hospital,2
Kayanga,2
Kimironko,2
King Faisal Hospital,2
Kinyinya,2
Nyacyonga,2
Prison Kimironko,2
Rubungo,2
Gihogwe,2
CARAES Ndera,2
Nduba,2
Gikomero,2
Camp Nyabiheke,26
Nyabisindu,26
Mbogo,26
Kiziguro (GATSIBO),26
Nyabiheke,26
Munini (GATSIBO),26
Gatsibo,26
Mayange (GATSIBO),26
Gitoki,26
Kageyo,26
Bugarura,26
Gakenke,26
Gasange,26
Gituza,26
Humure,26
Muhura,26
Kibondo,26
Kabarore,26
Kiziguro HD,26
Ngarama,26
Ngarama HD,26
Nyagahanga,26
Nyagihanga,26
Rugarama,26
Rwembogo,26
Rwimitereri,26
Tanda,23
Munyinya,23
Mulindi,23
Mukono,23
Muko,23
Muhondo,23
Miyove,23
Manyagiro,23
Kigogo,23
Giti,23
Gisiza,23
Byumba,23
Ruhenda,23
Bushara,23
Musenyi (GICUMBI),23
Rubaya,23
Camp Gihembe,23
Rwesero,23
Rutare (Gicumbi),23
Rushaki,23
Bwisige,23
Byumba HD,23
Muzenga,5
Gishubi,5
Kigembe,5
Gisagara,5
Kansi,5
Kibayi,5
Kibilizi HD,5
Kirarambogo,5
Mugombwa,5
Musha,5
Save,5
Kibilizi,5
Gakoma HD,5
Gakoma,5
Gikonko,5
Gikore,5
Ruhashya-Rwaniro,7
Rusatira-Kinazi,7
Rwaniro,7
Sovu,7
Simbi,7
Busoro-Gishamvu,7
Mbazi,7
Rubona (HUYE),7
BUTARE CHU,7
CUSP Butare,7
Huye Police,7
Kabutare HD,7
Karama,7
Kinyamakara,7
Matyazo,7
Prison Karubanda,7
Rango,7
BUKOMEYE (MUKURA),7
Maraba (HUYE),7
Prison Butare,7
Prison Rwandex,7
GITOVU (KINAZI),7
Kabuga,11
Gihara,11
Kamonyi,11
Karangara,11
Kayenzi,11
Kigese,11
Mugina,11
Musambira,11
Nyagihamba,11
Remera Rukoma,11
Remera Rukoma HD,11
Cyeru,11
KAMONYI,11
UBUZIMA BWIZA,11
INSHUTI NZIZA,11
IWACU,11
GACURABWENGE,11
ANUPHIL,11
AMIZERO,11
Mugonero HD,12
Gatare,12
Biguhu,12
Kirinda,12
Bubazi,12
Gisovu,12
Karongi (Gisunzu) Police,12
Karora,12
Kibuye,12
Kibuye HD,12
Munzanga,12
Birambo,12
Kiziba Camp,12
Bisesero,12
Kirinda HD,12
Kirambo,12
Rugabano,12
Mpembe,12
Mubuga,12
Mugonero,12
Mukungu,12
Musango,12
Mwendo,12
Rufungo,12
Rubengera,12
Buhabwa,27
Kageyo (Kayonza),27
Kabarondo Dispensaire Prive,27
Kabare,27
Kabura,27
Kageyo (Kayonza),27
KABARONDO (PRIVE),27
SEVER,27
UBUMWE,27
KAYONZA,27
Rwinkwavu HD,27
Ryamanyoni,27
Ruramira,27
Gahini HD,27
Rwinkwavu,27
Gahini,27
Rutare,27
Kabarondo,27
Karama,27
Mukarange,27
Ndego,27
Nyakabungo,27
Nyamirama,27
Rukara,27
Cyarubare,27
Gikondo,3
Kanombe HM,3
Bethsaida,3
Busanza,3
Gahanga,3
Kabuga (KICUKIRO),3
Kicukiro,3
Nyarugunga,3
Masaka,3
Musaza,28
Bukora,28
Gahara,28
Gashongora,28
Kabuye (Kirehe),28
Kirehe,28
Mulindi,28
Mushikiri,28
Nasho,28
Ntaruka,28
Nyabitare,28
Nyarubuye (KIREHE),28
Rusumo,28
Kirehe HD,28
Mushishiro,10
Nyabikenke,10
Nyabinoni,10
Nyarusange (MUHANGA),10
Prison Gitarama,10
Rutobwe,10
Shyogwe,10
Kabgayi HD,10
Kabgayi,10
Kivumu,10
Birehe,10
Buramba,10
Gasovu,10
Gitarama,10
Gitega,21
INFIRMERIE ACADEMY,21
PRISON RUHENGERI,21
GASHAKI,21
Gasakuza,21
Kimonyi Dispensary,21
Muhoza,21
Nyarubuye (MUSANZE),21
Kabere,21
Shingiro,21
Rwaza,21
Ruhengeri HD,21
Ruhengeri,21
Nyakinama,21
Murandi,21
Karwasa,21
Gasiza,21
Bisate,21
Busogo,21
Kinigi,21
Zaza,29
Mutenderi,29
Nyange,29
Remera,29
Rukira,29
Rukoma Sake,29
Rukumberi,29
Sangaza,29
Kirwa,29
Gatseta,29
Muhurire,29
Rubona (NGOMA),29
Kibungo HD,29
Nyagasozi,29
Prison Kibungo,29
Gituku,29
Jarama,29
Kibungo,29
Kabaya,16
Muhororo,16
Gashubi,16
Kabaya HD,16
Muramba,16
Ntaganzwa,16
Ntobwe,16
Nyange A,16
Nyange B,16
Ramba,16
Muhororo HD,16
Rubaya,16
Rususa,16
Rubona,16
Ruhunga,16
Kiziguro (NGORORERO),16
Gashonyi,16
Gasiza,16
Hindiro,16
Mabuye,16
Rugari,16
Nyamisa,16
Ndaro,16
Bungwe (NGORORERO),16
Gatumba,16
Kageyo (NGORORERO),16
Shyira HD,15
Rambura,15
Kabatwa,15
Arusha,15
Bigogwe,15
Birembo,15
Gakamba,15
Rwankeri,15
Kabari (NYABIHU),15
Shyira,15
Kareba,15
Kora,15
Mwiyanike,15
Nyakigezi,15
Nyakiliba,15
Rurembo,15
Jomba,15
Jenda (NYABIHU),15
Kintobo,15
Mutaho,15
SHEMA,15
Gatebe,25
Nyakigando,25
Hunga,25
Musenyi,25
Ndama,25
Nyendo,25
Prison Nyagatare,25
Rurenge,25
Mimuri,25
Muhambo,25
Ntoma,25
Nyabwishongwezi,25
Nyagahita,25
Nyagatare,25
Nyagatare HD,25
Rukomo,25
Karangazi,25
Rwempasha,25
Tabagwe,25
Nyarurema,25
Matimba,25
Katabagemu,25
Bugaragara,25
Cyabayaga,25
Cyondo,25
Kabuga,8
Kagitumba,25
Mbuga,8
Jenda (NYAMAGABE),8
Cyanika (NYAMAGABE),8
Nyarusiza,8
Kigeme HD,8
Mushubi,8
Kaduha,8
Kitabi,8
Kigeme,8
Kaduha HD,8
Nyamagabe,8
Nyarwungo,8
Rugege,8
Musebeya,8
KIBUMBWE,8
Kavumu,8
Ngara,8
UWINKINGI,8
MUGANO,8
Shaba,8
Prison Gikongoro,8
Prison Gasaka,8
Bugarama,8
Mugera,18
Kibogora HD,18
Kibogora,18
Kibingo,18
Muyange,18
Mwezi,18
Bushenge,18
Karengera,18
Karambi,18
Bushenge HD,18
Hanika (NYAMASHEKE),18
Kamonyi,18
Mukoma,18
Gatare,18
Gisakura,18
Yove,18
Ruheru,18
Rangiro,18
Nyamasheke,18
MAHEMBE,18
Ngange,18
Mucubira,4
Busoro,4
Cyaratsi,4
Gatagara,4
Hanika (Nyanza),4
Kirambi,4
Mweya,4
Ntyazo,4
Kibilizi,4
Hanika (NYANZA),4
Gahombo,4
Nyarusange (NYANZA),4
Nyanza HD,4
Nyamure,4
Prison Nyanza,4
Nyanza,4
Ruyenzi,4
Nyamiyaga,4
Prison Mpanga,4
Rugarama,1
PCK/Gitega,1
